																																										
General Info																																										
																																										
Run information																																										
593	F02	Unknown	AcetoPhAssay 14/96	0.56458	508.29	265	13																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.14912	548.15	245	14																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.573596	548.29	265	14																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.19295	588.15	245	15																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.58296	588.29	265	15																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.23465	628.15	245	16																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.591841	628.29	265	16																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.27834	668.15	245	17																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.601226	668.29	265	17																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.32069	708.15	245	18																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.610712	708.29	265	18																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.36235	748.15	245	19																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.619065	748.29	265	19																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.40317	788.15	245	20																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.627591	788.29	265	20																																			
593	F02	Unknown	AcetoPhAssay 14/96	1.44364	828.15	245	21																																			
593	F02	Unknown	AcetoPhAssay 14/96	0.635975	828.29	265	21																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.609686	29.36	245	1																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.451279	29.5	265	1																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.65594	69.35	245	2																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.462536	69.49	265	2																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.705198	109.35	245	3																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.474517	109.49	265	3																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.753564	149.35	245	4																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.485763	149.49	265	4																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.803665	189.35	245	5																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.49732	189.49	265	5																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.850805	229.35	245	6																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.507961	229.49	265	6																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.899773	269.35	245	7																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.518764	269.49	265	7																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.947155	309.36	245	8																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.52936	309.49	265	8																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.99618	349.35	245	9																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.540168	349.49	265	9																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.04495	389.35	245	10																																			
593	G02	Unknown	AcetoPhAssay 15/96	0.550819	389.49	265	10																																			
593	G02	Unknown	AcetoPhAssay 15/96	1.09357	429.35	245	11																																			
